Macrotrends Data Download

Ahmadabad, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,855000
1951-12-31,887000,3.74
1952-12-31,915000,3.16
1953-12-31,945000,3.28
1954-12-31,976000,3.28
1955-12-31,1007000,3.18
1956-12-31,1040000,3.28
1957-12-31,1073000,3.17
1958-12-31,1108000,3.26
1959-12-31,1144000,3.25
1960-12-31,1181000,3.23
1961-12-31,1221000,3.39
1962-12-31,1266000,3.69
1963-12-31,1313000,3.71
1964-12-31,1362000,3.73
1965-12-31,1412000,3.67
1966-12-31,1465000,3.75
1967-12-31,1519000,3.69
1968-12-31,1576000,3.75
1969-12-31,1634000,3.68
1970-12-31,1695000,3.73
1971-12-31,1758000,3.72
1972-12-31,1827000,3.92
1973-12-31,1899000,3.94
1974-12-31,1973000,3.9
1975-12-31,2050000,3.9
1976-12-31,2130000,3.9
1977-12-31,2214000,3.94
1978-12-31,2300000,3.88
1979-12-31,2390000,3.91
1980-12-31,2484000,3.93
1981-12-31,2578000,3.78
1982-12-31,2671000,3.61
1983-12-31,2768000,3.63
1984-12-31,2868000,3.61
1985-12-31,2971000,3.59
1986-12-31,3078000,3.6
1987-12-31,3189000,3.61
1988-12-31,3304000,3.61
1989-12-31,3423000,3.6
1990-12-31,3547000,3.62
1991-12-31,3668000,3.41
1992-12-31,3781000,3.08
1993-12-31,3897000,3.07
1994-12-31,4016000,3.05
1995-12-31,4140000,3.09
1996-12-31,4267000,3.07
1997-12-31,4398000,3.07
1998-12-31,4533000,3.07
1999-12-31,4672000,3.07
2000-12-31,4815000,3.06
2001-12-31,4955000,2.91
2002-12-31,5085000,2.62
2003-12-31,5218000,2.62
2004-12-31,5354000,2.61
2005-12-31,5494000,2.61
2006-12-31,5637000,2.6
2007-12-31,5784000,2.61
2008-12-31,5936000,2.63
2009-12-31,6090000,2.59
2010-12-31,6250000,2.63
2011-12-31,6413000,2.61
2012-12-31,6580000,2.6
2013-12-31,6752000,2.61
2014-12-31,6928000,2.61
2015-12-31,7109000,2.61
2016-12-31,7295000,2.62
2017-12-31,7485000,2.6
2018-12-31,7681000,2.62
2019-12-31,7869000,2.45
2020-12-31,8059000,2.41
2021-12-31,8253000,2.41
2022-12-31,8450000,2.39
2023-12-31,8651000,2.38
2024-12-31,8854000,2.35
2025-12-31,9062000,2.35
2026-12-31,9273000,2.33
2027-12-31,9487000,2.31
2028-12-31,9704000,2.29
2029-12-31,9925000,2.28
2030-12-31,10148000,2.25
2031-12-31,10373000,2.22
2032-12-31,10601000,2.2
2033-12-31,10831000,2.17
2034-12-31,11062000,2.13
2035-12-31,11295000,2.11
