Macrotrends Data Download

Amravati, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,101000
1951-12-31,104000,2.97
1952-12-31,107000,2.88
1953-12-31,110000,2.8
1954-12-31,113000,2.73
1955-12-31,117000,3.54
1956-12-31,120000,2.56
1957-12-31,124000,3.33
1958-12-31,127000,2.42
1959-12-31,131000,3.15
1960-12-31,135000,3.05
1961-12-31,139000,2.96
1962-12-31,144000,3.6
1963-12-31,149000,3.47
1964-12-31,154000,3.36
1965-12-31,160000,3.9
1966-12-31,165000,3.13
1967-12-31,171000,3.64
1968-12-31,177000,3.51
1969-12-31,183000,3.39
1970-12-31,189000,3.28
1971-12-31,195000,3.17
1972-12-31,201000,3.08
1973-12-31,207000,2.99
1974-12-31,214000,3.38
1975-12-31,220000,2.8
1976-12-31,227000,3.18
1977-12-31,234000,3.08
1978-12-31,241000,2.99
1979-12-31,249000,3.32
1980-12-31,256000,2.81
1981-12-31,266000,3.91
1982-12-31,279000,4.89
1983-12-31,292000,4.66
1984-12-31,307000,5.14
1985-12-31,322000,4.89
1986-12-31,337000,4.66
1987-12-31,354000,5.04
1988-12-31,371000,4.8
1989-12-31,389000,4.85
1990-12-31,408000,4.88
1991-12-31,425000,4.17
1992-12-31,437000,2.82
1993-12-31,448000,2.52
1994-12-31,461000,2.9
1995-12-31,473000,2.6
1996-12-31,486000,2.75
1997-12-31,499000,2.67
1998-12-31,512000,2.61
1999-12-31,526000,2.73
2000-12-31,540000,2.66
2001-12-31,553000,2.41
2002-12-31,562000,1.63
2003-12-31,571000,1.6
2004-12-31,580000,1.58
2005-12-31,590000,1.72
2006-12-31,600000,1.69
2007-12-31,609000,1.5
2008-12-31,619000,1.64
2009-12-31,630000,1.78
2010-12-31,640000,1.59
2011-12-31,651000,1.72
2012-12-31,661000,1.54
2013-12-31,672000,1.66
2014-12-31,683000,1.64
2015-12-31,695000,1.76
2016-12-31,706000,1.58
2017-12-31,718000,1.7
2018-12-31,729000,1.53
2019-12-31,741000,1.65
2020-12-31,752000,1.48
2021-12-31,765000,1.73
2022-12-31,778000,1.7
2023-12-31,793000,1.93
2024-12-31,808000,1.89
2025-12-31,825000,2.1
2026-12-31,843000,2.18
2027-12-31,861000,2.14
2028-12-31,880000,2.21
2029-12-31,900000,2.27
2030-12-31,920000,2.22
2031-12-31,940000,2.17
2032-12-31,961000,2.23
2033-12-31,982000,2.19
2034-12-31,1003000,2.14
2035-12-31,1024000,2.09
