Macrotrends Data Download

Hyderabad, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,1096000
1951-12-31,1131000,3.19
1952-12-31,1143000,1.06
1953-12-31,1155000,1.05
1954-12-31,1167000,1.04
1955-12-31,1179000,1.03
1956-12-31,1191000,1.02
1957-12-31,1203000,1.01
1958-12-31,1215000,1
1959-12-31,1228000,1.07
1960-12-31,1241000,1.06
1961-12-31,1264000,1.85
1962-12-31,1310000,3.64
1963-12-31,1359000,3.74
1964-12-31,1408000,3.61
1965-12-31,1460000,3.69
1966-12-31,1514000,3.7
1967-12-31,1569000,3.63
1968-12-31,1627000,3.7
1969-12-31,1687000,3.69
1970-12-31,1748000,3.62
1971-12-31,1812000,3.66
1972-12-31,1877000,3.59
1973-12-31,1944000,3.57
1974-12-31,2014000,3.6
1975-12-31,2086000,3.57
1976-12-31,2161000,3.6
1977-12-31,2238000,3.56
1978-12-31,2318000,3.57
1979-12-31,2401000,3.58
1980-12-31,2487000,3.58
1981-12-31,2592000,4.22
1982-12-31,2734000,5.48
1983-12-31,2884000,5.49
1984-12-31,3043000,5.51
1985-12-31,3209000,5.46
1986-12-31,3386000,5.52
1987-12-31,3571000,5.46
1988-12-31,3768000,5.52
1989-12-31,3974000,5.47
1990-12-31,4193000,5.51
1991-12-31,4386000,4.6
1992-12-31,4511000,2.85
1993-12-31,4639000,2.84
1994-12-31,4772000,2.87
1995-12-31,4908000,2.85
1996-12-31,5048000,2.85
1997-12-31,5192000,2.85
1998-12-31,5341000,2.87
1999-12-31,5493000,2.85
2000-12-31,5650000,2.86
2001-12-31,5812000,2.87
2002-12-31,5982000,2.92
2003-12-31,6157000,2.93
2004-12-31,6337000,2.92
2005-12-31,6522000,2.92
2006-12-31,6712000,2.91
2007-12-31,6908000,2.92
2008-12-31,7110000,2.92
2009-12-31,7318000,2.93
2010-12-31,7531000,2.91
2011-12-31,7751000,2.92
2012-12-31,7978000,2.93
2013-12-31,8211000,2.92
2014-12-31,8450000,2.91
2015-12-31,8697000,2.92
2016-12-31,8951000,2.92
2017-12-31,9213000,2.93
2018-12-31,9482000,2.92
2019-12-31,9741000,2.73
2020-12-31,10004000,2.7
2021-12-31,10269000,2.65
2022-12-31,10534000,2.58
2023-12-31,10801000,2.53
2024-12-31,11069000,2.48
2025-12-31,11338000,2.43
2026-12-31,11608000,2.38
2027-12-31,11881000,2.35
2028-12-31,12156000,2.31
2029-12-31,12434000,2.29
2030-12-31,12714000,2.25
2031-12-31,12997000,2.23
2032-12-31,13282000,2.19
2033-12-31,13570000,2.17
2034-12-31,13860000,2.14
2035-12-31,14152000,2.11
