Macrotrends Data Download

Jaipur, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,294000
1951-12-31,307000,4.42
1952-12-31,317000,3.26
1953-12-31,326000,2.84
1954-12-31,336000,3.07
1955-12-31,346000,2.98
1956-12-31,357000,3.18
1957-12-31,368000,3.08
1958-12-31,379000,2.99
1959-12-31,390000,2.9
1960-12-31,402000,3.08
1961-12-31,416000,3.48
1962-12-31,435000,4.57
1963-12-31,454000,4.37
1964-12-31,475000,4.63
1965-12-31,496000,4.42
1966-12-31,518000,4.44
1967-12-31,541000,4.44
1968-12-31,565000,4.44
1969-12-31,590000,4.42
1970-12-31,616000,4.41
1971-12-31,644000,4.55
1972-12-31,675000,4.81
1973-12-31,708000,4.89
1974-12-31,742000,4.8
1975-12-31,778000,4.85
1976-12-31,815000,4.76
1977-12-31,854000,4.79
1978-12-31,896000,4.92
1979-12-31,939000,4.8
1980-12-31,984000,4.79
1981-12-31,1029000,4.57
1982-12-31,1071000,4.08
1983-12-31,1115000,4.11
1984-12-31,1161000,4.13
1985-12-31,1209000,4.13
1986-12-31,1258000,4.05
1987-12-31,1310000,4.13
1988-12-31,1364000,4.12
1989-12-31,1420000,4.11
1990-12-31,1478000,4.08
1991-12-31,1540000,4.19
1992-12-31,1607000,4.35
1993-12-31,1677000,4.36
1994-12-31,1749000,4.29
1995-12-31,1825000,4.35
1996-12-31,1905000,4.38
1997-12-31,1987000,4.3
1998-12-31,2074000,4.38
1999-12-31,2164000,4.34
2000-12-31,2258000,4.34
2001-12-31,2344000,3.81
2002-12-31,2408000,2.73
2003-12-31,2474000,2.74
2004-12-31,2542000,2.75
2005-12-31,2612000,2.75
2006-12-31,2684000,2.76
2007-12-31,2758000,2.76
2008-12-31,2834000,2.76
2009-12-31,2912000,2.75
2010-12-31,2992000,2.75
2011-12-31,3074000,2.74
2012-12-31,3158000,2.73
2013-12-31,3245000,2.75
2014-12-31,3334000,2.74
2015-12-31,3426000,2.76
2016-12-31,3520000,2.74
2017-12-31,3617000,2.76
2018-12-31,3717000,2.76
2019-12-31,3812000,2.56
2020-12-31,3909000,2.54
2021-12-31,4008000,2.53
2022-12-31,4107000,2.47
2023-12-31,4207000,2.43
2024-12-31,4309000,2.42
2025-12-31,4411000,2.37
2026-12-31,4515000,2.36
2027-12-31,4620000,2.33
2028-12-31,4726000,2.29
2029-12-31,4834000,2.29
2030-12-31,4943000,2.25
2031-12-31,5053000,2.23
2032-12-31,5164000,2.2
2033-12-31,5276000,2.17
2034-12-31,5388000,2.12
2035-12-31,5502000,2.12
