Macrotrends Data Download

Lucknow, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,489000
1951-12-31,501000,2.45
1952-12-31,516000,2.99
1953-12-31,530000,2.71
1954-12-31,545000,2.83
1955-12-31,560000,2.75
1956-12-31,576000,2.86
1957-12-31,592000,2.78
1958-12-31,609000,2.87
1959-12-31,626000,2.79
1960-12-31,644000,2.88
1961-12-31,660000,2.48
1962-12-31,675000,2.27
1963-12-31,689000,2.07
1964-12-31,704000,2.18
1965-12-31,720000,2.27
1966-12-31,735000,2.08
1967-12-31,751000,2.18
1968-12-31,767000,2.13
1969-12-31,784000,2.22
1970-12-31,801000,2.17
1971-12-31,818000,2.12
1972-12-31,836000,2.2
1973-12-31,854000,2.15
1974-12-31,873000,2.22
1975-12-31,892000,2.18
1976-12-31,911000,2.13
1977-12-31,931000,2.2
1978-12-31,951000,2.15
1979-12-31,972000,2.21
1980-12-31,993000,2.16
1981-12-31,1025000,3.22
1982-12-31,1078000,5.17
1983-12-31,1134000,5.19
1984-12-31,1192000,5.11
1985-12-31,1254000,5.2
1986-12-31,1319000,5.18
1987-12-31,1387000,5.16
1988-12-31,1459000,5.19
1989-12-31,1535000,5.21
1990-12-31,1614000,5.15
1991-12-31,1686000,4.46
1992-12-31,1737000,3.02
1993-12-31,1789000,2.99
1994-12-31,1843000,3.02
1995-12-31,1898000,2.98
1996-12-31,1955000,3
1997-12-31,2014000,3.02
1998-12-31,2075000,3.03
1999-12-31,2137000,2.99
2000-12-31,2202000,3.04
2001-12-31,2265000,2.86
2002-12-31,2324000,2.6
2003-12-31,2384000,2.58
2004-12-31,2446000,2.6
2005-12-31,2510000,2.62
2006-12-31,2575000,2.59
2007-12-31,2642000,2.6
2008-12-31,2711000,2.61
2009-12-31,2781000,2.58
2010-12-31,2854000,2.62
2011-12-31,2928000,2.59
2012-12-31,3004000,2.6
2013-12-31,3082000,2.6
2014-12-31,3162000,2.6
2015-12-31,3245000,2.62
2016-12-31,3329000,2.59
2017-12-31,3416000,2.61
2018-12-31,3505000,2.61
2019-12-31,3590000,2.43
2020-12-31,3677000,2.42
2021-12-31,3765000,2.39
2022-12-31,3854000,2.36
2023-12-31,3945000,2.36
2024-12-31,4038000,2.36
2025-12-31,4133000,2.35
2026-12-31,4229000,2.32
2027-12-31,4326000,2.29
2028-12-31,4425000,2.29
2029-12-31,4526000,2.28
2030-12-31,4628000,2.25
2031-12-31,4731000,2.23
2032-12-31,4834000,2.18
2033-12-31,4939000,2.17
2034-12-31,5045000,2.15
2035-12-31,5151000,2.1
