Macrotrends Data Download

Patna, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,334000
1951-12-31,345000,3.29
1952-12-31,353000,2.32
1953-12-31,362000,2.55
1954-12-31,371000,2.49
1955-12-31,380000,2.43
1956-12-31,389000,2.37
1957-12-31,398000,2.31
1958-12-31,408000,2.51
1959-12-31,418000,2.45
1960-12-31,428000,2.39
1961-12-31,439000,2.57
1962-12-31,452000,2.96
1963-12-31,464000,2.65
1964-12-31,477000,2.8
1965-12-31,491000,2.94
1966-12-31,505000,2.85
1967-12-31,519000,2.77
1968-12-31,533000,2.7
1969-12-31,548000,2.81
1970-12-31,564000,2.92
1971-12-31,583000,3.37
1972-12-31,613000,5.15
1973-12-31,645000,5.22
1974-12-31,679000,5.27
1975-12-31,714000,5.15
1976-12-31,752000,5.32
1977-12-31,791000,5.19
1978-12-31,832000,5.18
1979-12-31,876000,5.29
1980-12-31,921000,5.14
1981-12-31,959000,4.13
1982-12-31,976000,1.77
1983-12-31,994000,1.84
1984-12-31,1012000,1.81
1985-12-31,1030000,1.78
1986-12-31,1049000,1.84
1987-12-31,1068000,1.81
1988-12-31,1087000,1.78
1989-12-31,1107000,1.84
1990-12-31,1127000,1.81
1991-12-31,1155000,2.48
1992-12-31,1202000,4.07
1993-12-31,1251000,4.08
1994-12-31,1302000,4.08
1995-12-31,1355000,4.07
1996-12-31,1410000,4.06
1997-12-31,1467000,4.04
1998-12-31,1527000,4.09
1999-12-31,1589000,4.06
2000-12-31,1654000,4.09
2001-12-31,1709000,3.33
2002-12-31,1741000,1.87
2003-12-31,1774000,1.9
2004-12-31,1808000,1.92
2005-12-31,1842000,1.88
2006-12-31,1877000,1.9
2007-12-31,1913000,1.92
2008-12-31,1949000,1.88
2009-12-31,1986000,1.9
2010-12-31,2024000,1.91
2011-12-31,2062000,1.88
2012-12-31,2101000,1.89
2013-12-31,2141000,1.9
2014-12-31,2182000,1.91
2015-12-31,2223000,1.88
2016-12-31,2265000,1.89
2017-12-31,2308000,1.9
2018-12-31,2352000,1.91
2019-12-31,2393000,1.74
2020-12-31,2436000,1.8
2021-12-31,2482000,1.89
2022-12-31,2529000,1.89
2023-12-31,2580000,2.02
2024-12-31,2633000,2.05
2025-12-31,2690000,2.16
2026-12-31,2748000,2.16
2027-12-31,2809000,2.22
2028-12-31,2872000,2.24
2029-12-31,2937000,2.26
2030-12-31,3002000,2.21
2031-12-31,3069000,2.23
2032-12-31,3136000,2.18
2033-12-31,3204000,2.17
2034-12-31,3272000,2.12
2035-12-31,3341000,2.11
