Macrotrends Data Download

Amritsar, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,340000
1951-12-31,338000,-0.59
1952-12-31,344000,1.78
1953-12-31,350000,1.74
1954-12-31,356000,1.71
1955-12-31,362000,1.69
1956-12-31,368000,1.66
1957-12-31,374000,1.63
1958-12-31,381000,1.87
1959-12-31,387000,1.57
1960-12-31,394000,1.81
1961-12-31,400000,1.52
1962-12-31,406000,1.5
1963-12-31,411000,1.23
1964-12-31,417000,1.46
1965-12-31,423000,1.44
1966-12-31,429000,1.42
1967-12-31,435000,1.4
1968-12-31,441000,1.38
1969-12-31,447000,1.36
1970-12-31,453000,1.34
1971-12-31,461000,1.77
1972-12-31,476000,3.25
1973-12-31,490000,2.94
1974-12-31,505000,3.06
1975-12-31,520000,2.97
1976-12-31,536000,3.08
1977-12-31,552000,2.99
1978-12-31,569000,3.08
1979-12-31,587000,3.16
1980-12-31,604000,2.9
1981-12-31,619000,2.48
1982-12-31,628000,1.45
1983-12-31,637000,1.43
1984-12-31,646000,1.41
1985-12-31,655000,1.39
1986-12-31,664000,1.37
1987-12-31,674000,1.51
1988-12-31,683000,1.34
1989-12-31,693000,1.46
1990-12-31,702000,1.3
1991-12-31,717000,2.14
1992-12-31,743000,3.63
1993-12-31,769000,3.5
1994-12-31,796000,3.51
1995-12-31,824000,3.52
1996-12-31,853000,3.52
1997-12-31,884000,3.63
1998-12-31,915000,3.51
1999-12-31,947000,3.5
2000-12-31,981000,3.59
2001-12-31,1009000,2.85
2002-12-31,1026000,1.68
2003-12-31,1043000,1.66
2004-12-31,1061000,1.73
2005-12-31,1078000,1.6
2006-12-31,1096000,1.67
2007-12-31,1114000,1.64
2008-12-31,1133000,1.71
2009-12-31,1152000,1.68
2010-12-31,1171000,1.65
2011-12-31,1190000,1.62
2012-12-31,1210000,1.68
2013-12-31,1230000,1.65
2014-12-31,1250000,1.63
2015-12-31,1271000,1.68
2016-12-31,1292000,1.65
2017-12-31,1314000,1.7
2018-12-31,1335000,1.6
2019-12-31,1356000,1.57
2020-12-31,1377000,1.55
2021-12-31,1400000,1.67
2022-12-31,1425000,1.79
2023-12-31,1452000,1.89
2024-12-31,1480000,1.93
2025-12-31,1511000,2.09
2026-12-31,1543000,2.12
2027-12-31,1577000,2.2
2028-12-31,1612000,2.22
2029-12-31,1648000,2.23
2030-12-31,1685000,2.25
2031-12-31,1722000,2.2
2032-12-31,1760000,2.21
2033-12-31,1798000,2.16
2034-12-31,1837000,2.17
2035-12-31,1875000,2.07
