Macrotrends Data Download

Bangalore, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,746000
1951-12-31,790000,5.9
1952-12-31,825000,4.43
1953-12-31,862000,4.48
1954-12-31,900000,4.41
1955-12-31,939000,4.33
1956-12-31,981000,4.47
1957-12-31,1024000,4.38
1958-12-31,1069000,4.39
1959-12-31,1117000,4.49
1960-12-31,1166000,4.39
1961-12-31,1213000,4.03
1962-12-31,1252000,3.22
1963-12-31,1292000,3.19
1964-12-31,1334000,3.25
1965-12-31,1377000,3.22
1966-12-31,1422000,3.27
1967-12-31,1468000,3.23
1968-12-31,1515000,3.2
1969-12-31,1564000,3.23
1970-12-31,1615000,3.26
1971-12-31,1678000,3.9
1972-12-31,1777000,5.9
1973-12-31,1882000,5.91
1974-12-31,1993000,5.9
1975-12-31,2111000,5.92
1976-12-31,2235000,5.87
1977-12-31,2367000,5.91
1978-12-31,2507000,5.91
1979-12-31,2655000,5.9
1980-12-31,2812000,5.91
1981-12-31,2956000,5.12
1982-12-31,3061000,3.55
1983-12-31,3169000,3.53
1984-12-31,3281000,3.53
1985-12-31,3397000,3.54
1986-12-31,3517000,3.53
1987-12-31,3642000,3.55
1988-12-31,3771000,3.54
1989-12-31,3904000,3.53
1990-12-31,4043000,3.56
1991-12-31,4182000,3.44
1992-12-31,4318000,3.25
1993-12-31,4459000,3.27
1994-12-31,4604000,3.25
1995-12-31,4754000,3.26
1996-12-31,4909000,3.26
1997-12-31,5069000,3.26
1998-12-31,5234000,3.26
1999-12-31,5405000,3.27
2000-12-31,5581000,3.26
2001-12-31,5779000,3.55
2002-12-31,6015000,4.08
2003-12-31,6262000,4.11
2004-12-31,6519000,4.1
2005-12-31,6786000,4.1
2006-12-31,7064000,4.1
2007-12-31,7354000,4.11
2008-12-31,7656000,4.11
2009-12-31,7969000,4.09
2010-12-31,8296000,4.1
2011-12-31,8636000,4.1
2012-12-31,8990000,4.1
2013-12-31,9358000,4.09
2014-12-31,9742000,4.1
2015-12-31,10141000,4.1
2016-12-31,10557000,4.1
2017-12-31,10990000,4.1
2018-12-31,11440000,4.09
2019-12-31,11883000,3.87
2020-12-31,12327000,3.74
2021-12-31,12765000,3.55
2022-12-31,13193000,3.35
2023-12-31,13608000,3.15
2024-12-31,14008000,2.94
2025-12-31,14395000,2.76
2026-12-31,14772000,2.62
2027-12-31,15140000,2.49
2028-12-31,15504000,2.4
2029-12-31,15865000,2.33
2030-12-31,16227000,2.28
2031-12-31,16590000,2.24
2032-12-31,16955000,2.2
2033-12-31,17323000,2.17
2034-12-31,17693000,2.14
2035-12-31,18066000,2.11
