Macrotrends Data Download

Calcutta, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,4604000
1951-12-31,4725000,2.63
1952-12-31,4844000,2.52
1953-12-31,4966000,2.52
1954-12-31,5091000,2.52
1955-12-31,5219000,2.51
1956-12-31,5351000,2.53
1957-12-31,5485000,2.5
1958-12-31,5623000,2.52
1959-12-31,5765000,2.53
1960-12-31,5910000,2.52
1961-12-31,6052000,2.4
1962-12-31,6182000,2.15
1963-12-31,6315000,2.15
1964-12-31,6451000,2.15
1965-12-31,6589000,2.14
1966-12-31,6731000,2.16
1967-12-31,6876000,2.15
1968-12-31,7024000,2.15
1969-12-31,7175000,2.15
1970-12-31,7329000,2.15
1971-12-31,7488000,2.17
1972-12-31,7652000,2.19
1973-12-31,7819000,2.18
1974-12-31,7991000,2.2
1975-12-31,8166000,2.19
1976-12-31,8345000,2.19
1977-12-31,8527000,2.18
1978-12-31,8714000,2.19
1979-12-31,8905000,2.19
1980-12-31,9100000,2.19
1981-12-31,9289000,2.08
1982-12-31,9463000,1.87
1983-12-31,9640000,1.87
1984-12-31,9820000,1.87
1985-12-31,10004000,1.87
1986-12-31,10191000,1.87
1987-12-31,10381000,1.86
1988-12-31,10575000,1.87
1989-12-31,10773000,1.87
1990-12-31,10974000,1.87
1991-12-31,11176000,1.84
1992-12-31,11375000,1.78
1993-12-31,11577000,1.78
1994-12-31,11783000,1.78
1995-12-31,11992000,1.77
1996-12-31,12206000,1.78
1997-12-31,12422000,1.77
1998-12-31,12643000,1.78
1999-12-31,12868000,1.78
2000-12-31,13097000,1.78
2001-12-31,13278000,1.38
2002-12-31,13356000,0.59
2003-12-31,13435000,0.59
2004-12-31,13515000,0.6
2005-12-31,13595000,0.59
2006-12-31,13676000,0.6
2007-12-31,13757000,0.59
2008-12-31,13838000,0.59
2009-12-31,13920000,0.59
2010-12-31,14003000,0.6
2011-12-31,14086000,0.59
2012-12-31,14169000,0.59
2013-12-31,14253000,0.59
2014-12-31,14338000,0.6
2015-12-31,14423000,0.59
2016-12-31,14508000,0.59
2017-12-31,14594000,0.59
2018-12-31,14681000,0.6
2019-12-31,14755000,0.5
2020-12-31,14850000,0.64
2021-12-31,14974000,0.84
2022-12-31,15134000,1.07
2023-12-31,15333000,1.31
2024-12-31,15571000,1.55
2025-12-31,15845000,1.76
2026-12-31,16151000,1.93
2027-12-31,16484000,2.06
2028-12-31,16836000,2.14
2029-12-31,17205000,2.19
2030-12-31,17584000,2.2
2031-12-31,17971000,2.2
2032-12-31,18364000,2.19
2033-12-31,18761000,2.16
2034-12-31,19161000,2.13
2035-12-31,19564000,2.1
