Macrotrends Data Download

Delhi, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,1369000
1951-12-31,1461000,6.72
1952-12-31,1536000,5.13
1953-12-31,1613000,5.01
1954-12-31,1695000,5.08
1955-12-31,1782000,5.13
1956-12-31,1872000,5.05
1957-12-31,1967000,5.07
1958-12-31,2067000,5.08
1959-12-31,2172000,5.08
1960-12-31,2283000,5.11
1961-12-31,2394000,4.86
1962-12-31,2499000,4.39
1963-12-31,2610000,4.44
1964-12-31,2725000,4.41
1965-12-31,2845000,4.4
1966-12-31,2971000,4.43
1967-12-31,3102000,4.41
1968-12-31,3239000,4.42
1969-12-31,3381000,4.38
1970-12-31,3531000,4.44
1971-12-31,3689000,4.47
1972-12-31,3864000,4.74
1973-12-31,4046000,4.71
1974-12-31,4236000,4.7
1975-12-31,4436000,4.72
1976-12-31,4646000,4.73
1977-12-31,4865000,4.71
1978-12-31,5095000,4.73
1979-12-31,5335000,4.71
1980-12-31,5587000,4.72
1981-12-31,5862000,4.92
1982-12-31,6177000,5.37
1983-12-31,6508000,5.36
1984-12-31,6858000,5.38
1985-12-31,7226000,5.37
1986-12-31,7614000,5.37
1987-12-31,8022000,5.36
1988-12-31,8453000,5.37
1989-12-31,8906000,5.36
1990-12-31,9384000,5.37
1991-12-31,9885000,5.34
1992-12-31,10406000,5.27
1993-12-31,10954000,5.27
1994-12-31,11531000,5.27
1995-12-31,12138000,5.26
1996-12-31,12779000,5.28
1997-12-31,13451000,5.26
1998-12-31,14160000,5.27
1999-12-31,14906000,5.27
2000-12-31,15692000,5.27
2001-12-31,16414000,4.6
2002-12-31,16956000,3.3
2003-12-31,17516000,3.3
2004-12-31,18095000,3.31
2005-12-31,18691000,3.29
2006-12-31,19309000,3.31
2007-12-31,19946000,3.3
2008-12-31,20606000,3.31
2009-12-31,21285000,3.3
2010-12-31,21988000,3.3
2011-12-31,22714000,3.3
2012-12-31,23464000,3.3
2013-12-31,24239000,3.3
2014-12-31,25039000,3.3
2015-12-31,25866000,3.3
2016-12-31,26720000,3.3
2017-12-31,27602000,3.3
2018-12-31,28514000,3.3
2019-12-31,29399000,3.1
2020-12-31,30291000,3.03
2021-12-31,31181000,2.94
2022-12-31,32066000,2.84
2023-12-31,32941000,2.73
2024-12-31,33807000,2.63
2025-12-31,34666000,2.54
2026-12-31,35518000,2.46
2027-12-31,36369000,2.4
2028-12-31,37221000,2.34
2029-12-31,38077000,2.3
2030-12-31,38939000,2.26
2031-12-31,39807000,2.23
2032-12-31,40682000,2.2
2033-12-31,41564000,2.17
2034-12-31,42452000,2.14
2035-12-31,43345000,2.1
