Macrotrends Data Download

Mumbai, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,3089000
1951-12-31,3254000,5.34
1952-12-31,3366000,3.44
1953-12-31,3482000,3.45
1954-12-31,3602000,3.45
1955-12-31,3726000,3.44
1956-12-31,3855000,3.46
1957-12-31,3988000,3.45
1958-12-31,4125000,3.44
1959-12-31,4268000,3.47
1960-12-31,4415000,3.44
1961-12-31,4573000,3.58
1962-12-31,4748000,3.83
1963-12-31,4930000,3.83
1964-12-31,5119000,3.83
1965-12-31,5314000,3.81
1966-12-31,5518000,3.84
1967-12-31,5729000,3.82
1968-12-31,5949000,3.84
1969-12-31,6176000,3.82
1970-12-31,6413000,3.84
1971-12-31,6656000,3.79
1972-12-31,6900000,3.67
1973-12-31,7152000,3.65
1974-12-31,7414000,3.66
1975-12-31,7685000,3.66
1976-12-31,7967000,3.67
1977-12-31,8258000,3.65
1978-12-31,8561000,3.67
1979-12-31,8874000,3.66
1980-12-31,9200000,3.67
1981-12-31,9514000,3.41
1982-12-31,9794000,2.94
1983-12-31,10083000,2.95
1984-12-31,10380000,2.95
1985-12-31,10686000,2.95
1986-12-31,11000000,2.94
1987-12-31,11324000,2.95
1988-12-31,11659000,2.96
1989-12-31,12002000,2.94
1990-12-31,12355000,2.94
1991-12-31,12709000,2.87
1992-12-31,13052000,2.7
1993-12-31,13403000,2.69
1994-12-31,13764000,2.69
1995-12-31,14135000,2.7
1996-12-31,14517000,2.7
1997-12-31,14908000,2.69
1998-12-31,15309000,2.69
1999-12-31,15722000,2.7
2000-12-31,16147000,2.7
2001-12-31,16496000,2.16
2002-12-31,16683000,1.13
2003-12-31,16872000,1.13
2004-12-31,17064000,1.14
2005-12-31,17257000,1.13
2006-12-31,17453000,1.14
2007-12-31,17650000,1.13
2008-12-31,17851000,1.14
2009-12-31,18053000,1.13
2010-12-31,18257000,1.13
2011-12-31,18464000,1.13
2012-12-31,18674000,1.14
2013-12-31,18885000,1.13
2014-12-31,19099000,1.13
2015-12-31,19316000,1.14
2016-12-31,19535000,1.13
2017-12-31,19756000,1.13
2018-12-31,19980000,1.13
2019-12-31,20185000,1.03
2020-12-31,20411000,1.12
2021-12-31,20668000,1.26
2022-12-31,20961000,1.42
2023-12-31,21297000,1.6
2024-12-31,21673000,1.77
2025-12-31,22089000,1.92
2026-12-31,22539000,2.04
2027-12-31,23018000,2.13
2028-12-31,23520000,2.18
2029-12-31,24040000,2.21
2030-12-31,24572000,2.21
2031-12-31,25115000,2.21
2032-12-31,25664000,2.19
2033-12-31,26220000,2.17
2034-12-31,26780000,2.14
2035-12-31,27343000,2.1
