Macrotrends Data Download

Visakhapatnam, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,105000
1951-12-31,110000,4.76
1952-12-31,118000,7.27
1953-12-31,126000,6.78
1954-12-31,135000,7.14
1955-12-31,144000,6.67
1956-12-31,154000,6.94
1957-12-31,165000,7.14
1958-12-31,177000,7.27
1959-12-31,189000,6.78
1960-12-31,202000,6.88
1961-12-31,215000,6.44
1962-12-31,227000,5.58
1963-12-31,239000,5.29
1964-12-31,253000,5.86
1965-12-31,267000,5.53
1966-12-31,281000,5.24
1967-12-31,297000,5.69
1968-12-31,313000,5.39
1969-12-31,331000,5.75
1970-12-31,349000,5.44
1971-12-31,368000,5.44
1972-12-31,387000,5.16
1973-12-31,408000,5.43
1974-12-31,429000,5.15
1975-12-31,452000,5.36
1976-12-31,475000,5.09
1977-12-31,500000,5.26
1978-12-31,527000,5.4
1979-12-31,554000,5.12
1980-12-31,583000,5.23
1981-12-31,615000,5.49
1982-12-31,649000,5.53
1983-12-31,686000,5.7
1984-12-31,725000,5.69
1985-12-31,765000,5.52
1986-12-31,809000,5.75
1987-12-31,854000,5.56
1988-12-31,902000,5.62
1989-12-31,953000,5.65
1990-12-31,1007000,5.67
1991-12-31,1053000,4.57
1992-12-31,1080000,2.56
1993-12-31,1108000,2.59
1994-12-31,1136000,2.53
1995-12-31,1166000,2.64
1996-12-31,1196000,2.57
1997-12-31,1226000,2.51
1998-12-31,1258000,2.61
1999-12-31,1290000,2.54
2000-12-31,1323000,2.56
2001-12-31,1357000,2.57
2002-12-31,1392000,2.58
2003-12-31,1427000,2.51
2004-12-31,1463000,2.52
2005-12-31,1500000,2.53
2006-12-31,1538000,2.53
2007-12-31,1577000,2.54
2008-12-31,1617000,2.54
2009-12-31,1658000,2.54
2010-12-31,1700000,2.53
2011-12-31,1743000,2.53
2012-12-31,1787000,2.52
2013-12-31,1832000,2.52
2014-12-31,1878000,2.51
2015-12-31,1926000,2.56
2016-12-31,1975000,2.54
2017-12-31,2025000,2.53
2018-12-31,2076000,2.52
2019-12-31,2125000,2.36
2020-12-31,2175000,2.35
2021-12-31,2226000,2.34
2022-12-31,2278000,2.34
2023-12-31,2331000,2.33
2024-12-31,2385000,2.32
2025-12-31,2440000,2.31
2026-12-31,2497000,2.34
2027-12-31,2554000,2.28
2028-12-31,2613000,2.31
2029-12-31,2672000,2.26
2030-12-31,2732000,2.25
2031-12-31,2793000,2.23
2032-12-31,2854000,2.18
2033-12-31,2916000,2.17
2034-12-31,2978000,2.13
2035-12-31,3041000,2.12
