Macrotrends Data Download

Thiruvananthapuram, India Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,224000
1951-12-31,233000,4.02
1952-12-31,242000,3.86
1953-12-31,252000,4.13
1954-12-31,262000,3.97
1955-12-31,272000,3.82
1956-12-31,283000,4.04
1957-12-31,294000,3.89
1958-12-31,306000,4.08
1959-12-31,319000,4.25
1960-12-31,331000,3.76
1961-12-31,345000,4.23
1962-12-31,358000,3.77
1963-12-31,372000,3.91
1964-12-31,387000,4.03
1965-12-31,402000,3.88
1966-12-31,418000,3.98
1967-12-31,434000,3.83
1968-12-31,451000,3.92
1969-12-31,469000,3.99
1970-12-31,487000,3.84
1971-12-31,504000,3.49
1972-12-31,515000,2.18
1973-12-31,526000,2.14
1974-12-31,538000,2.28
1975-12-31,550000,2.23
1976-12-31,562000,2.18
1977-12-31,574000,2.14
1978-12-31,587000,2.26
1979-12-31,600000,2.21
1980-12-31,613000,2.17
1981-12-31,631000,2.94
1982-12-31,659000,4.44
1983-12-31,688000,4.4
1984-12-31,719000,4.51
1985-12-31,750000,4.31
1986-12-31,784000,4.53
1987-12-31,818000,4.34
1988-12-31,855000,4.52
1989-12-31,892000,4.33
1990-12-31,932000,4.48
1991-12-31,962000,3.22
1992-12-31,971000,0.94
1993-12-31,980000,0.93
1994-12-31,989000,0.92
1995-12-31,998000,0.91
1996-12-31,1007000,0.9
1997-12-31,1016000,0.89
1998-12-31,1026000,0.98
1999-12-31,1035000,0.88
2000-12-31,1045000,0.97
2001-12-31,1068000,2.2
2002-12-31,1119000,4.78
2003-12-31,1173000,4.83
2004-12-31,1229000,4.77
2005-12-31,1288000,4.8
2006-12-31,1350000,4.81
2007-12-31,1414000,4.74
2008-12-31,1482000,4.81
2009-12-31,1554000,4.86
2010-12-31,1628000,4.76
2011-12-31,1706000,4.79
2012-12-31,1788000,4.81
2013-12-31,1874000,4.81
2014-12-31,1964000,4.8
2015-12-31,2058000,4.79
2016-12-31,2157000,4.81
2017-12-31,2261000,4.82
2018-12-31,2369000,4.78
2019-12-31,2477000,4.56
2020-12-31,2585000,4.36
2021-12-31,2691000,4.1
2022-12-31,2793000,3.79
2023-12-31,2891000,3.51
2024-12-31,2984000,3.22
2025-12-31,3073000,2.98
2026-12-31,3157000,2.73
2027-12-31,3238000,2.57
2028-12-31,3318000,2.47
2029-12-31,3396000,2.35
2030-12-31,3474000,2.3
2031-12-31,3552000,2.25
2032-12-31,3630000,2.2
2033-12-31,3709000,2.18
2034-12-31,3789000,2.16
2035-12-31,3868000,2.08
